date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:32:39	0/0	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2029%20May%202023%2013:02:38%20GMT	https://webthemez.com/robots.txt		(from )
18:32:39	20458/20458	---M-Z	200	added ('OK')	text/html	etag:%224fea-560c62939d3c0-gzip%22	https://webthemez.com/demo/fine-best-app-landing-page-free-web-template/	C:/My%20Web%20Sites/FOOD/webthemez.com/demo/fine-best-app-landing-page-free-web-template/index.html	(from )
18:32:40	101595/101595	---M-Z	200	added ('OK')	text/css	etag:%2218cdb-560c62198b3c0-gzip%22	https://webthemez.com/demo/fine-best-app-landing-page-free-web-template/css/bootstrap.min.css	C:/My%20Web%20Sites/FOOD/webthemez.com/demo/fine-best-app-landing-page-free-web-template/css/bootstrap.min.css	(from https://webthemez.com/demo/fine-best-app-landing-page-free-web-template/)
18:32:41	21984/21984	---M-Z	200	added ('OK')	text/css	etag:%2255e0-560c621d5bcc0-gzip%22	https://webthemez.com/demo/fine-best-app-landing-page-free-web-template/css/font-awesome.min.css	C:/My%20Web%20Sites/FOOD/webthemez.com/demo/fine-best-app-landing-page-free-web-template/css/font-awesome.min.css	(from https://webthemez.com/demo/fine-best-app-landing-page-free-web-template/)
18:32:41	8331/8331	---M-Z	200	added ('OK')	text/css	etag:%22208b-560c6229c1a00-gzip%22	https://webthemez.com/demo/fine-best-app-landing-page-free-web-template/fonts/icon-7-stroke/css/pe-icon-7-stroke.css	C:/My%20Web%20Sites/FOOD/webthemez.com/demo/fine-best-app-landing-page-free-web-template/fonts/icon-7-stroke/css/pe-icon-7-stroke.css	(from https://webthemez.com/demo/fine-best-app-landing-page-free-web-template/)
18:32:42	72922/72922	---M-Z	200	added ('OK')	text/css	etag:%2211cda-560c620a48fc0-gzip%22	https://webthemez.com/demo/fine-best-app-landing-page-free-web-template/css/animate.css	C:/My%20Web%20Sites/FOOD/webthemez.com/demo/fine-best-app-landing-page-free-web-template/css/animate.css	(from https://webthemez.com/demo/fine-best-app-landing-page-free-web-template/)
18:32:42	1672/1672	---M-Z	200	added ('OK')	text/css	etag:%22688-560c622038380-gzip%22	https://webthemez.com/demo/fine-best-app-landing-page-free-web-template/css/owl.theme.css	C:/My%20Web%20Sites/FOOD/webthemez.com/demo/fine-best-app-landing-page-free-web-template/css/owl.theme.css	(from https://webthemez.com/demo/fine-best-app-landing-page-free-web-template/)
18:32:42	1476/1476	---M-Z	200	added ('OK')	text/css	etag:%225c4-560c621f44140-gzip%22	https://webthemez.com/demo/fine-best-app-landing-page-free-web-template/css/owl.carousel.css	C:/My%20Web%20Sites/FOOD/webthemez.com/demo/fine-best-app-landing-page-free-web-template/css/owl.carousel.css	(from https://webthemez.com/demo/fine-best-app-landing-page-free-web-template/)
18:32:43	19038/19038	---M-Z	200	added ('OK')	text/css	etag:%224a5e-560c622220800-gzip%22	https://webthemez.com/demo/fine-best-app-landing-page-free-web-template/css/styles.css	C:/My%20Web%20Sites/FOOD/webthemez.com/demo/fine-best-app-landing-page-free-web-template/css/styles.css	(from https://webthemez.com/demo/fine-best-app-landing-page-free-web-template/)
18:32:43	21984/21984	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:53%20GMT	http://maxcdn.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css	C:/My%20Web%20Sites/FOOD/maxcdn.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css	(from https://webthemez.com/demo/fine-best-app-landing-page-free-web-template/)
